score,statsDataId,title,survey_date,updated_date,gov_org,matched_search_word
5,0003017552,23 都道府県別児童数別学校数（学校別）（設置者別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003020758,23 都道府県別児童数別学校数（学校別）（設置者別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003017977,50 都道府県別生徒数別学校数（うち公立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003020986,50 都道府県別生徒数別学校数（うち公立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003017976,50 都道府県別生徒数別学校数（学校別）（設置者別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003020985,50 都道府県別生徒数別学校数（学校別）（設置者別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003018481,112 修業年限別通信制を置く学校数、入学状況及び生徒数（本科）（うち公立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003018482,112 修業年限別通信制を置く学校数、入学状況及び生徒数（本科）（うち私立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003020865,112 修業年限別通信制を置く学校数、入学状況及び生徒数（本科）（うち公立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003020866,112 修業年限別通信制を置く学校数、入学状況及び生徒数（本科）（うち私立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003018748,119 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003020886,119 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003018747,119 前期課程の都道府県別生徒数別学校数（学校別）（設置者別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003020885,119 前期課程の都道府県別生徒数別学校数（学校別）（設置者別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003017265,23 都道府県別児童数別学校数 計 公立の内訳,0,2010-12-24,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003017266,23 都道府県別児童数別学校数 本校（公立）,0,2010-12-24,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003017269,50 都道府県別生徒数別学校数 計 公立の内訳,0,2010-12-24,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003017270,50 都道府県別生徒数別学校数 本校（公立）,0,2010-12-24,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003017841,119 前期課程の都道府県別生徒数別学校数 公立の内訳,0,2010-12-17,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003182622,160 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（都道府県別）,201601-201612,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003142512,131 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（都道府県別）,201501-201512,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003104584,113 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（都道府県別）,201401-201412,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003035391,22 都道府県別児童数別学校数,0,2023-10-25,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
4,0003071508,修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（都道府県別）,0,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003015720,56 都道府県別　学校数及び学生数 学生数,0,2023-10-25,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003015662,56 都道府県別　学校数及び学生数 学校数,0,2023-10-25,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003011819,7 都道府県別　学校数及び学生数 学生数 都道府県別,0,2023-10-25,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003011817,7 都道府県別　学校数及び学生数 学校数 都道府県別,0,2023-10-25,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003013752,40 都道府県別　学校数及び学生数 学校数 都道府県別,0,2023-10-25,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003013754,40 都道府県別　学校数及び学生数 学生数 都道府県別,0,2023-10-25,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003011818,7 都道府県別　学校数及び学生数 学校数 政令指定都市別,0,2023-10-25,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003011820,7 都道府県別　学校数及び学生数 学生数 政令指定都市別,0,2023-10-25,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003013753,40 都道府県別　学校数及び学生数 学校数 再掲,0,2023-10-25,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003013755,40 都道府県別　学校数及び学生数 学生数 再掲,0,2023-10-25,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003206305,43 都道府県別　児童数別　学校数,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
4,0003207521,81 都道府県別　生徒数別　学校数,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003209442,157 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003209481,157 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003209081,121 都道府県別　児童生徒数別　学校数,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003210520,192 都道府県別　全日制課程のうち単位制による課程及び定時制の修業年限別の学校数、生徒数,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003195521,51 都道府県別　学校数及び学生数,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003191660,7 都道府県別　学校数及び学生数（都道府県別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003194741,36 都道府県別　学校数及び学生数（都道府県別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003191641,7 都道府県別　学校数及び学生数（政令指定都市別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003194760,36 都道府県別　学校数及び学生数（政令指定都市別）（再掲）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003144174,43 都道府県別　児童数別　学校数,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
4,0003144413,82 都道府県別　生徒数別　学校数,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003144682,119 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003144718,119 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003144790,154 都道府県別　全日制課程のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003143475,51 都道府県別　学校数及び学生数,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003143090,7 都道府県別　学校数及び学生数（都道府県別）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003143426,36 都道府県別　学校数及び学生数（都道府県別）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003143119,7 都道府県別　学校数及び学生数（政令指定都市別）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003143380,36 都道府県別　学校数及び学生数（政令指定都市別）（再掲）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003110448,22 都道府県別　児童数別　学校数,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
4,0003111244,61 都道府県別　生徒数別　学校数,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003111764,98 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003111807,98 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003113069,133 都道府県別　全日制課程のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003106632,53 都道府県別　学校数及び学生数,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003106003,7 都道府県別　学校数及び学生数（都道府県別）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003106544,37 都道府県別　学校数及び学生数（都道府県別）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003106028,7 都道府県別　学校数及び学生数（政令指定都市別）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003106576,37 都道府県別　学校数及び学生数（政令指定都市別）（再掲）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003043067,22 都道府県別  児童数別  学校数,201004-201103,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
4,0003043245,61 都道府県別  生徒数別　学校数,201004-201103,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003043412,98 都道府県別  全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）,201004-201103,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003043634,133 都道府県別　全日制のうち単位制による課程の学校数、生徒数,201004-201103,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003043986,22 都道府県別  児童数別  学校数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
4,0003077748,22 都道府県別　児童数別　学校数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
4,0003096791,22 都道府県別　児童数別　学校数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
4,0003044152,60 都道府県別  生徒数別　学校数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003035749,61 都道府県別生徒数別学校数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003077818,61 都道府県別　生徒数別　学校数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003044257,96 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003083799,98 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003083817,98 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003044377,131 都道府県別　全日制のうち単位制による課程の学校数、生徒数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003068174,131 都道府県別　全日制課程のうち単位制による課程の修業年限別の学校数、生徒数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003083825,133 都道府県別　全日制課程のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003035790,98 都道府県別全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003074072,都道府県別　学校数及び学生数,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003066279,都道府県別　学校数及び学生数（都道府県別）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
