tab_code,tab_name,cat01_code,cat01_name,cat02_code,cat02_name,cat03_code,cat03_name,area_code,area_name,time_code,time_name,value
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2005000000,2005年,1738766
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2004000000,2004年,1753393
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2003000000,2003年,1760494
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2002000000,2002年,1769096
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2001000000,2001年,1753422
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2000000000,2000年,1773682
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1999000000,1999年,1778286
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1998000000,1998年,1786129
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1997000000,1997年,1789523
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1996000000,1996年,1798051
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1995000000,1995年,1808432
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1994000000,1994年,1852183
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1993000000,1993年,1907110
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1992000000,1992年,1948868
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1991000000,1991年,1977611
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1990000000,1990年,2007964
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1989000000,1989年,2037614
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1988000000,1988年,2041820
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1987000000,1987年,2016224
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1986000000,1986年,2018523
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1985000000,1985年,2067951
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1984000000,1984年,2132942
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1983000000,1983年,2192808
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1982000000,1982年,2227615
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1981000000,1981年,2292810
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1980000000,1980年,2407093
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1979000000,1979年,2486604
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1978000000,1978年,2497895
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1977000000,1977年,2453422
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1976000000,1976年,2371422
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1975000000,1975年,2292591
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1974000000,1974年,2233470
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1973000000,1973年,2129471
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1972000000,1972年,1842458
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1971000000,1971年,1715756
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1970000000,1970年,1674625
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1969000000,1969年,1551017
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1968000000,1968年,1419593
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1967000000,1967年,1314607
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,1966000000,1966年,1221926
